76764,73834,74956,76229,74239,74539,74855,73948,73796,73218,75333,75364,76568,81303,82523,84940,88033,81564,74744,71870,71740,75683,76205,72760,72756,73907,67713,64599,64867,62490,60651,56751,56808,55153,56229,58521,60343,61689,64794,67428,69776,70821,73946,73470,76210,76989
76908,76616,74148,75318,76200,73810,74746,74992,74166,74043,73194,75281,75388,76709,81497,82968,85488,88291,81491,75061,72338,72327,76317,76924,73418,73744,74718,68402,65362,65704,63238,61593,57659,57655,56176,57324,59774,62081,63414,66525,68877,71793,72131,75528,74883,78470
81434,76570,76831,74564,75204,75708,73886,74886,75056,74277,73846,73065,75254,75565,76871,81942,83526,85630,88133,81560,75440,72587,72811,76699,77293,74122,74244,75239,69094,66072,66342,63981,62319,58340,58419,57175,58392,61318,63704,64575,67544,70043,72597,73075,76460,76602
86989,80992,76804,77217,74477,74773,75751,73953,74948,75190,74111,73732,73005,75258,75610,77430,82438,83640,85461,88189,81801,75791,72863,73188,76982,77911,74641,74748,75689,69520,66431,66898,64408,62695,58756,59098,58024,59737,62761,64683,65672,68614,71337,73849,74419,78420
90299,86618,81228,77239,77116,73872,74658,75829,74032,75020,75084,74006,73661,72993,75366,76119,77932,82518,83640,85432,88366,82115,76128,73294,73442,77489,78451,74932,75063,76001,69752,66743,67195,64618,62961,59249,59722,58972,61022,63324,65590,66204,69614,72352,75068,76268
88174,89909,86864,81470,76954,76491,73700,74619,75863,74121,74941,74933,73945,73679,73094,75911,76461,78026,82369,83575,85534,88596,82437,76493,73583,74074,78002,78732,75291,75276,76210,70024,66994,67222,64711,63319,59778,60617,60138,61319,63940,65898,67004,70466,73224,76637
84270,87712,90026,86994,81210,76268,76406,73683,74666,75868,73975,74742,74807,73904,73712,73498,76218,76468,77863,82297,83668,85745,88760,82638,76742,74159,74575,78240,78985,75486,75418,76459,70216,67164,67238,65057,63642,60601,61702,60402,61909,64405,66454,67731,71192,74593
77783,83972,87793,90095,86762,80715,76150,76401,73636,74712,75702,73715,74558,74705,73917,74109,73730,76184,76324,77805,82378,83854,85891,88841,82794,77272,74639,74876,78399,79164,75624,75606,76510,70278,67165,67495,65271,64382,61471,61909,61038,62242,64870,67040,68448,72478
73292,77500,84032,87793,89908,86200,80628,76169,76405,73683,74583,75486,73668,74409,74683,74188,74287,73798,76122,76226,77904,82517,84000,86049,89030,83318,77616,74784,74983,78380,79210,75785,75756,76547,70157,67293,67659,65919,65245,61797,62438,61137,62604,65403,67569,69675
65636,73103,77550,83914,87568,89327,86106,80607,76143,76413,73587,74416,75371,73563,74395,74975,74328,74274,73652,76074,76362,78147,82613,84160,86101,89570,83610,77765,74977,75095,78456,79363,75820,75756,76443,70258,67472,68204,66567,65543,62223,62508,61290,63067,65925,68600
64028,65419,73293,77587,83756,87181,89262,86031,80611,76164,76244,73405,74297,75270,73583,74546,75159,74336,74159,73536,76156,76366,78307,82758,84329,86638,89953,83770,77847,75051,75212,78472,79449,75744,75555,76426,70344,68066,68760,66812,65884,62211,62653,61688,63633,66944
61853,63849,65517,73315,77444,83325,87158,89202,86094,80563,76060,76000,73269,74174,75222,73706,74597,75137,74205,74088,73582,76280,76451,78397,82868,84938,86970,90013,83780,77947,75093,75333,78498,79398,75681,75507,76491,70760,68499,69010,67084,66045,62371,63077,62306,64561
61615,61726,63959,65537,73064,77088,83302,87147,89222,86044,80434,75795,75869,73153,74147,75286,73773,74558,75043,74034,74162,73703,76460,76563,78511,83383,85154,87021,90017,83902,78042,75128,75344,78464,79295,75676,75586,76900,71276,68645,69120,67213,66222,62799,63600,63164
